127.0.0.1 - - [27/Jul/2016:20:51:36 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [27/Jul/2016:20:51:38 +0700] "GET /hrdcontactlist/index.jsp HTTP/1.1" 200 11344
0:0:0:0:0:0:0:1 - - [27/Jul/2016:20:51:38 +0700] "GET /hrdcontactlist/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2016:20:51:38 +0700] "GET /hrdcontactlist/bower_components/metisMenu/dist/metisMenu.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2016:20:51:38 +0700] "GET /hrdcontactlist/dist/css/timeline.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2016:20:51:38 +0700] "GET /hrdcontactlist/dist/css/sb-admin-2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2016:20:51:38 +0700] "GET /hrdcontactlist/bower_components/morrisjs/morris.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2016:20:51:38 +0700] "GET /hrdcontactlist/bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2016:20:51:38 +0700] "GET /hrdcontactlist/bower_components/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2016:20:51:38 +0700] "GET /hrdcontactlist/bower_components/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2016:20:51:38 +0700] "GET /hrdcontactlist/bower_components/metisMenu/dist/metisMenu.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2016:20:51:38 +0700] "GET /hrdcontactlist/bower_components/raphael/raphael-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2016:20:51:38 +0700] "GET /hrdcontactlist/bower_components/morrisjs/morris.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2016:20:51:38 +0700] "GET /hrdcontactlist/js/morris-data.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2016:20:51:38 +0700] "GET /hrdcontactlist/dist/js/sb-admin-2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2016:20:51:39 +0700] "GET /hrdcontactlist/bower_components/font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
