127.0.0.1 - - [12/Jul/2016:17:20:36 +0700] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [12/Jul/2016:17:20:40 +0700] "GET /hrdcontactlist/ HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [12/Jul/2016:17:20:40 +0700] "GET /hrdcontactlist/js/jquery-min.js HTTP/1.1" 200 95997
0:0:0:0:0:0:0:1 - - [12/Jul/2016:17:20:44 +0700] "POST /hrdcontactlist/listobject.nk HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Jul/2016:17:21:50 +0700] "GET /hrdcontactlist/ HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [12/Jul/2016:17:21:50 +0700] "GET /hrdcontactlist/js/jquery-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2016:17:21:50 +0700] "POST /hrdcontactlist/listobject.nk HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [12/Jul/2016:17:21:57 +0700] "POST /hrdcontactlist/listobjectby.nk HTTP/1.1" 200 89
0:0:0:0:0:0:0:1 - - [12/Jul/2016:17:22:04 +0700] "POST /hrdcontactlist/listobjectby.nk HTTP/1.1" 200 166
